VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,TotalFreight,GrossProfit,ProfitMargin,StockTurnOver,SalestoPurchaseRatio
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11.19,750.0,13.99,54552,610436.88,55710.0,862422.9,43861.64,257032.07,-48907.68999999999,-5.670963746440405,1.0212274527056753,1.4127961927857309
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18.1,750.0,22.99,33715,610241.5,32969.0,771010.3099999999,25959.91,68601.68,66207.21999999994,8.587073239007653,0.9778733501408868,1.2634511254970366
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34.3,1750.0,51.99,17537,601519.1,16089.0,823521.11,29564.92,123880.97,68556.12000000001,8.324755633768758,0.9174317158008781,1.3690689289833025
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.59,750.0,9.95,91140,600612.6,90267.0,890334.41,10138.880000000001,144929.24,134653.69000000006,15.123945394854507,0.9904213298222515,1.482377176236396
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,6.75,1500.0,9.99,88752,599076.0,87974.0,945345.02,19771.27,13605.41,312892.34,33.09821635279784,0.9912340003605552,1.5780051612817072
8112,MOET HENNESSY USA INC,4689,Hennessy Privilege VSOP,33.33,750.0,45.99,17838,594540.54,18005.0,858571.95,14178.85,48347.26,201505.2999999999,23.46982102082416,1.009362036102702,1.4440931984217593
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,16.54,1000.0,23.99,35922,594149.88,34901.0,842326.99,36646.05,144929.24,66601.81999999999,7.9068842374384785,0.9715773063860587,1.4177011867779894
17035,PERNOD RICARD USA,3625,Absolut 80 Proof,12.59,750.0,16.99,45969,578749.7100000001,44406.0,785296.94,34961.13,123780.22,47805.87999999987,6.087618270867052,0.9659988252953077,1.3568852414630148
8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,23.97,750.0,34.99,24088,577389.36,23290.0,834892.1,2606.53,48347.26,206548.94999999998,24.739598086986327,0.9668714712720027,1.445977632840342
12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,22.55,750.0,29.99,25540,575927.0,22144.0,684455.5599999999,17438.07,123880.97,-32790.48000000006,-4.790739080269881,0.8670321064996085,1.188441521234462
7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,22.05,750.0,29.99,25361,559210.05,24770.0,763368.2999999999,19504.75,16978.67,167674.8299999999,21.96512875894898,0.9766965025038444,1.3650832992003628
7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,27.77,750.0,34.99,19910,552900.7000000001,18637.0,665392.63,14677.69,16978.67,80835.56999999993,12.148552051140081,0.9360622802611753,1.203457745667531
4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,11.89,750.0,19.99,46257,549995.73,46511.0,923055.25,5216.400000000001,144929.24,222913.88000000003,24.149570678461558,1.0054910608124177,1.6782953024017113
8664,"STOLI GROUP,(USA) LLC",3630,Stolichnaya Razberi,19.83,1750.0,24.99,27479,544908.57,27622.0,700960.78,50751.81,18544.49,86755.91000000009,12.376713858370234,1.0052039739437388,1.2863823742027036
1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,28.02,1750.0,38.99,19219,538516.38,18250.0,701171.5,33536.43,68601.68,60517.01,8.630842810924289,0.9495811436599199,1.3020430316344322
3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,18.51,750.0,25.99,28421,526072.71,27204.0,724379.96,21421.64,257032.07,-80146.46,-11.064146501236728,0.9571795503325006,1.3769578733707741
3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,11.76,750.0,15.99,44330,521320.8,41133.0,661672.67,32383.34,8549.55,99418.98000000007,15.025402212849453,0.9278817956237311,1.269223614327301
3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,5.44,750.0,9.99,94779,515597.76,91600.0,812899.38,10283.26,61966.91,225051.44999999998,27.685031571804124,0.9664588147163401,1.576615422068552
3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,22.83,750.0,29.99,22352,510296.16,20847.0,632474.53,16416.8,30234.420000000002,75527.15000000005,11.941532254271179,0.9326682176091625,1.2394263950565492
12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,31.99,1750.0,39.99,15805,505601.95,15381.0,565522.1900000001,28264.51,123880.97,-92225.23999999995,-16.3079790025569,0.9731730465042708,1.1185126758312542
7245,PROXIMO SPIRITS INC.,3776,Jose Cuervo Especial Silver,18.56,1750.0,25.99,26795,497315.2,25596.0,684036.0399999999,47031.43,38994.78,100694.62999999992,14.720661501987516,0.9552528456801642,1.3754577378692625
3960,DIAGEO NORTH AMERICA INC,3746,Gordons Vodka 80 Proof,8.52,1750.0,12.99,58309,496792.68,57845.0,724360.55,106278.68,257032.07,-135742.87999999995,-18.739684263589442,0.9920423948275566,1.458074120576817
17035,PERNOD RICARD USA,3728,Absolut Citron,18.93,1750.0,24.99,25959,491403.87,26222.0,658689.78,48180.15,123780.22,-4674.45999999997,-0.7096603199156922,1.0101313609923341,1.3404244862784658
3924,HEAVEN HILL DISTILLERIES,3243,Burnetts Vodka,8.26,1750.0,10.49,57575,475569.5,57067.0,648535.33,104847.72,14069.87,54048.23999999996,8.333892927621994,0.9911767260095528,1.3637025292833118
